OTU,Domain,Phylum,Class,Order,Family,Genus,Species
c2e76e6c2fe851069b04b9cf9050f5b7,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
a0c9adc102cbf84de7a5a7f5714bb27f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,
e87271ba00e173761f8dcf500706838e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,
ffa71e4cb73398d2cc7904dc752e4b0a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,
edcc909e795a9d270281e1d173df86fa,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,
0e2d370f860f8262fe2d1fd778dd030f,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
9cb46819d431ceefc1df7fec486c5820,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,
8d47bac6fd2fec3f9a25215c67b49b00,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,
ea99055221fd4a70a162a43e5a300637,Unassigned,,,,,,
0101a946ef48e21efb51790f17e742cb,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,Chroococcidiopsis_SAG_2023,
5f274a3953dad63215a98718176be13d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,
6112d362565c5797eb555106a550d353,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,
a69fc10a7627cd4f499a260ae0623b36,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,
1a883863725eead9924f1c1ae4f7f3da,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,
